wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
2MsW1rv316FT3ZD54HkiAotVnLQm1knVoLS2q6NbrFcB,solana,170759.88,82833.9,87925.98,0.1111,225,2760.49,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
GPdGrGiwsTWBJs3oT3DK9oDofe8qjSgXdyVBPxi1Gu62,solana,-23596.68,82587.7,-106184.38,0.5,392,3972.07,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
9r2ZyUpUwaYz4Qm5iehcEhAxbgvVXNU5grYNSJzqbzeN,solana,-562677.93,82246.68,-644924.62,0,66,11131.17,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
AimD6SVDxnwBEUrmn7wdBdRLbrFEY922atAd6DNkfXPZ,solana,82211.9,82211.9,0,0.5,217,2517.79,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
29hDcch4iGEAwjCUvR9ik9TA22xUW54aHUbggGfgDeCC,solana,-7011633.98,82206.28,-7093840.26,0,1430,5227.51,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
4hvruD7YDRZL2xh5aCUrN2DoxZKCjGv9jofDXMvwGagC,solana,81679.08,81695.78,-16.7,0.4,639,3249.52,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
76iSUXBUy1QXmJe1VpMeQfx6ZcJLxvzMt78JRpokNnqG,solana,81403.95,81626.63,-222.67,0.7887,2590,142.59,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
FYZQ3YviraCcDGTMfEB9LC8P3genjSpbu4fJj2RgGtBv,solana,97736.9,81060.15,16676.76,0,73,1494.07,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
aoSHne7LucwTSv5HDN2eqjXnPgZDTpqWQNMg8fDDKpX,solana,73211.18,80683.78,-7472.61,0.439,216,1742.02,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
28n1fjCjedxooLjFmw46e3J5tGbMQ43KAo9SFJufV95B,solana,153138.68,80605.23,72533.45,0,36,3513.62,provider_claimed|operator_pending_review|birdeye|birdeye_enriched_winrate,birdeye_gainers_losers
